카테고리,음식_링크,음식_이름,이미지_링크,필수재료,칼로리(kcal),탄수화물(g),단백질(g),총 지방(g)
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1379,칰햄 돈부리,https://ottogi.okitchen.co.kr/pds/upfile/2023-04-11_489629280[5].jpg,"['칰햄 오리지널 1캔(200g), 간장 4T(40g), 양파 1개, 설탕 2T(20g), 계란 2개, 물 100ml, 대파 1대(80g), 오뚜기밥 2개, 청양고추 1개(10g), 고소한 참기름 1T, 옛날 볶음참깨 약간']",699.4,94.1,33,22.2
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1377,닭고기크림스튜,https://ottogi.okitchen.co.kr/pds/upfile/2023-04-11_489629280[1].jpg,"['닭다리살 350g, 프레스코 카놀라유 2T(30g),마늘 2개(8g), 크림스프 40g, 양파 1개(200g), 우유 200ml, 당근 1/5개(30g), 물 200ml, 브로콜리 6조각(90g), 소금 약간, 양송이버섯 4개(80g), 순후추 약간']",573.24,37.61,41.08,29.02
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1376,카레 치즈라면,https://ottogi.okitchen.co.kr/pds/upfile/2023-03-07_752536584[9].jpg,"['진라면 매운맛 1개(분말스프 1T), 3분카레(순한맛) 1봉, 슬라이스치즈 1장(20g), 물 550ml, 파슬리가루 약간']",337.2,102.96,20.54,24.84
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1374,돈까스 김밥,https://ottogi.okitchen.co.kr/pds/upfile/2023-03-07_752536584[5].jpg,"['등심돈까스 1개(100g), 참깨 돈까스소스 2T(30g), 오뚜기밥 1개(210g), 단무지 40g, 계란 2개, 생와사비 약간, 소금 1g, 고소한 참기름 1t(3g), 골드마요네스 1T(15g), 로메인 4장(40g), 식용유 약간(유탕용), 김밥용 김 2장(6g)']",392.61,50.93,10.44,13.08
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1355,참치두부유부초밥,https://ottogi.okitchen.co.kr/pds/upfile/2022-11-22_560625953[5].jpg,"['초밥용 유부 6장, 두부 1/3모 100g, 파프리카 1/3개, 브로콜리 1/8개, 오뚜기 참치 ½캔(75g), 오뚜기 고소한 소이마요 1T']",338.3,10.7,28.5,20.1
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1332,쭈꾸미밥버거,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-28_115060389[5].jpg,"['오늘밥상1/4봉(30g), 밥친구(김자반)1봉(7g), 오징어낙지볶음양념, , 쭈꾸미1마리(65g), 계란1개(60g), 양파1/10개(20g), 슬라이스 치즈1장(20g), 대파1/8대(10g), 당근1/8개(20g), 맛있는 오뚜기밥1개(210g), 프레스코 카놀라유1T(10g), 적상추3장(20g), 옛날 볶음참깨1t']",701.3,87.5,24.15,28.64
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1322,토마토 해물 빠에야,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-01_786638811[21].jpg,"['오리지널 카레파우더 2g, 냉동해물모둠\t150g, 프레스코 압착올리브유 2T(20g), 다진마늘 1/2T(7g), 프레스코 토마토 스파게티소스 100g, 맛있는 오뚜기밥 1개(210g), 양파 1/2개(100g), 방울토마토 5개(50g), 미향 발효맛술 1T(10g), 소금 1/2t(1g), 바질 잎 약간']",467.44,95.06,8.27,6.21
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1319,오므라이스,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-01_786638811[15].jpg,"['토마토케챂 3T(30g), 돈까스소스 470g 4T(40g), 오뚜기밥 210g 1개(210g), 계란 2개, 애호박 1/6개(40g), 양파 1/8개(25g), 당근 1/6개(20g), 올리고당 1T(10g), 골드마요네스 약간(10g), 소금\t약간, 프레스코 카놀라유1T(10g), 물 3T(30g), 순후추 약간']",765.61,105.06,21.65,29.17
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1314,마라계란덮밥,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-01_786638811[5].jpg,"['계란4개, 맛있는 오뚜기밥 1개(210g), 이금기 훠궈마라탕소스 1T(20g), 프레스코 포도씨유 5T(70ml), 이금기 중화시즈닝 맛간장 2T(16g), 미향 발효맛술 1T(10g), 오뚜기 옛날참기름 1/2T(3g), 양파 1/4개(50g), 옛날 볶음참깨 1T(3g), 설탕 1T(8g), 다진 마늘, 순후추, 대파, 소금']",1426.49,101.37,36.99,98.3
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1312,규동,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-01_786638811[1].jpg,"['소고기(등심) 65g, 양파1개(200g), 감자전분1T(15g), 맛있는 오뚜기밥1개(210g), 미향 발효맛술 2T(20g), 이금기 굴소스 2T(20g), 다시마식초 1T(8g), 물 2T(20g), 설탕1/2T(4g), 프레스코 카놀라유1T(10g)']",833.3,113.59,19.89,32.88
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1297,오트밀토마토리조또,https://ottogi.okitchen.co.kr/pds/upfile/2022-04-11_393995672[9].jpg,"['1/2하프케챂45g, 오뚜기 순후추약간, 오트밀60g, 다진 마늘1t, 오뚜기 압착 올리브유1T, 양파1/4개, 팽이버섯1/4개(40g), 방울 토마토3개, 물250ml, 닭가슴살80g, 오뚜기 순후추약간, 소금1/3t', '파슬리 찹약간']",263.12,28.4,18.47,10.15
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1288,순두부 카레,https://ottogi.okitchen.co.kr/pds/upfile/2022-02-21_397338068[23].jpg,"['오뚜기카레 약간 매운맛70g, 순두부200g, 감자1/2(90g), 당근 (90g), 양파1/4(50g), 다진 돼지고기150g, 애호박1/6(50g), 브로콜리4조각(40g), 우유400ml, 오뚜기 프레스코 카놀라유2T']",963.48,20.63,58.31,68.25
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1270,북어누룽지죽,https://ottogi.okitchen.co.kr/pds/upfile/2022-01-11_619427589[13].jpg,"['북어포 1개(60g), 오뚜기 옛날 구수한 누룽지 1봉 (60g), 다진마늘 1/2t, 오뚜기 멸치장국 1T, 오뚜기 순백 들기름 1T, 오뚜기 미향 1T, 소금 약간, 오뚜기 백후추 약간, 쪽파 ½줄기, 물 500ml']",273.2,26.6,20.9,8.1
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1256,닭고기유자조림덮밥,https://ottogi.okitchen.co.kr/pds/upfile/2021-11-17_589044872[1].jpg,"['닭다리살 3덩어리(250g), 소금 1/2t, 후추 1/3t, 오뚜기 미향 1T, 맛있는 오뚜기밥 2개(420g), 양파 ½개, 실파 1줄기, 계란 2개, 오뚜기 고소한참기름 1T', '아임스틱 유자차 1T, 다진 마늘 1t, 이금기 팬더 양간장 5T, 오뚜기 미향 5T, 물 200ml']",436.6,74.5,16.1,6.5
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1247,양배추 된장 쌈밥,https://ottogi.okitchen.co.kr/pds/upfile/2021-11-12_593749891[3].jpg,"['오뮤 곤라이스 버섯된장 130g1개, 양배추5장']",209,39,5.9,4.4
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1238,인도식 버터치킨카레,https://ottogi.okitchen.co.kr/pds/upfile/2021-10-20_995940866[13].jpg,"['오리지널카레파우더10g, 물100g, 오뚜기토마토스파게티소스200g, 닭다리살200g, 오메가3 버터20g, 방울 토마토 40g, 우유 60g, 양파 100g, 식용유 10g, 크러쉬드페퍼2g, 소금약간']",336.3,17.7,22,19
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1232,카레 토마토솥밥,https://ottogi.okitchen.co.kr/pds/upfile/2021-09-03_177186357[29].jpg,"['불린 쌀2컵, 물2컵, 오뚜기카레 약간 매운맛2T, 토마토1개, 당근40g, 브로콜리40g, 표고버섯2개, 소금약간, 설탕약간, 프레스코 올리브유약간']",379.4,82.3,8,1.6
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1223,반반 카레,https://ottogi.okitchen.co.kr/pds/upfile/2021-09-03_177186357[11].jpg,"['오뚜기 3일숙성카레3조각, 양파2/3개, 쇠고기100g, 생크림 1/2컵, 토마토퓨레1컵, 오뚜기밥210g2개, 방울토마토3개', '대파5cm, 당근⅓개, 껍질콩4개, 페퍼론치노4개, 쪽파 또는 파슬리약간']",790.2,107.5,23.5,29.9
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1432,창녕갈릭 삼치조림,https://ottogi.okitchen.co.kr/pds/upfile/2023-08-30_789447777[11].jpg,"['손질된 삼치 1마리(소), 무 4cm 한 토막, 창녕갈릭소이소스 25g, 대파 1/3대, 양파 1/3개, 굵은 고춧가루 약간, 오뚜기 연생강 5g, 청양고추 2개, 순후추, 약간 물 300g']",338.58,17.29,49.42,7.01
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1430,창녕갈릭 소불고기,https://ottogi.okitchen.co.kr/pds/upfile/2023-08-30_789447777[7].jpg,"['불고기용 소고기 300g, 양파 1개, 창녕갈릭소이소스 80g, 대파 1/2대, 생강 2g, 물 50g, 후추 약간']",384.86,38.23,34.84,9.66
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1429,창녕갈릭 LA갈비 구이,https://ottogi.okitchen.co.kr/pds/upfile/2023-08-30_789447777[5].jpg,"['LA갈비 400g, 창녕갈릭소이소스 25g, 쪽파 소량']",638,27,38.6,39
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1382,토마토김치,https://ottogi.okitchen.co.kr/pds/upfile/2023-04-21_52700194[3].jpg,"['토마토 1개(235g), 옛날 볶음참깨 약간, 양파 1/4개(50g), 쪽파 2줄기(15g), 오늘밥상 바로 무쳐먹는 겉절이양념 1봉(90g)']",141.4,29.6,3.8,1.5
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1379,칰햄 돈부리,https://ottogi.okitchen.co.kr/pds/upfile/2023-04-11_489629280[5].jpg,"['칰햄 오리지널 1캔(200g), 간장 4T(40g), 양파 1개, 설탕 2T(20g), 계란 2개, 물 100ml, 대파 1대(80g), 오뚜기밥 2개, 청양고추 1개(10g), 고소한 참기름 1T, 옛날 볶음참깨 약간']",699.4,94.1,33,22.2
