Ä«Å×°í¸®,À½½Ä_¸µÅ©,À½½Ä_ÀÌ¸§,ÀÌ¹ÌÁö_¸µÅ©,ÇÊ¼öÀç·á,Ä®·Î¸®(kcal),Åº¼öÈ­¹°(g),´Ü¹éÁú(g),ÃÑ Áö¹æ(g)
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1379,¯ƒÇÜ µ·ºÎ¸®,https://ottogi.okitchen.co.kr/pds/upfile/2023-04-11_489629280[5].jpg,"['¯ƒÇÜ ¿À¸®Áö³Î 1Äµ(200g), °£Àå 4T(40g), ¾çÆÄ 1°³, ¼³ÅÁ 2T(20g), °è¶õ 2°³, ¹° 100ml, ´ëÆÄ 1´ë(80g), ¿À¶Ñ±â¹ä 2°³, Ã»¾ç°íÃß 1°³(10g), °í¼ÒÇÑ Âü±â¸§ 1T, ¿¾³¯ ººÀ½Âü±ú ¾à°£']",699.4,94.1,33,22.2
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1377,´ß°í±âÅ©¸²½ºÆ©,https://ottogi.okitchen.co.kr/pds/upfile/2023-04-11_489629280[1].jpg,"['´ß´Ù¸®»ì 350g, ÇÁ·¹½ºÄÚ Ä«³î¶óÀ¯ 2T(30g),¸¶´Ã 2°³(8g), Å©¸²½ºÇÁ 40g, ¾çÆÄ 1°³(200g), ¿ìÀ¯ 200ml, ´ç±Ù 1/5°³(30g), ¹° 200ml, ºê·ÎÄİ¸® 6Á¶°¢(90g), ¼Ò±İ ¾à°£, ¾ç¼ÛÀÌ¹ö¼¸ 4°³(80g), ¼øÈÄÃß ¾à°£']",573.24,37.61,41.08,29.02
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1374,µ·±î½º ±è¹ä,https://ottogi.okitchen.co.kr/pds/upfile/2023-03-07_752536584[5].jpg,"['µî½Éµ·±î½º 1°³(100g), Âü±ú µ·±î½º¼Ò½º 2T(30g), ¿À¶Ñ±â¹ä 1°³(210g), ´Ü¹«Áö 40g, °è¶õ 2°³, »ı¿Í»çºñ ¾à°£, ¼Ò±İ 1g, °í¼ÒÇÑ Âü±â¸§ 1t(3g), °ñµå¸¶¿ä³×½º 1T(15g), ·Î¸ŞÀÎ 4Àå(40g), ½Ä¿ëÀ¯ ¾à°£(À¯ÅÁ¿ë), ±è¹ä¿ë ±è 2Àå(6g)']",392.61,50.93,10.44,13.08
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1355,ÂüÄ¡µÎºÎÀ¯ºÎÃÊ¹ä,https://ottogi.okitchen.co.kr/pds/upfile/2022-11-22_560625953[5].jpg,"['ÃÊ¹ä¿ë À¯ºÎ 6Àå, µÎºÎ 1/3¸ğ 100g, ÆÄÇÁ¸®Ä« 1/3°³, ºê·ÎÄİ¸® 1/8°³, ¿À¶Ñ±â ÂüÄ¡ ¨öÄµ(75g), ¿À¶Ñ±â °í¼ÒÇÑ ¼ÒÀÌ¸¶¿ä 1T']",338.3,10.7,28.5,20.1
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1332,ÂŞ²Ù¹Ì¹ä¹ö°Å,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-28_115060389[5].jpg,"['¿À´Ã¹ä»ó1/4ºÀ(30g), ¹äÄ£±¸(±èÀÚ¹İ)1ºÀ(7g), ¿ÀÂ¡¾î³«ÁöººÀ½¾ç³ä, , ÂŞ²Ù¹Ì1¸¶¸®(65g), °è¶õ1°³(60g), ¾çÆÄ1/10°³(20g), ½½¶óÀÌ½º Ä¡Áî1Àå(20g), ´ëÆÄ1/8´ë(10g), ´ç±Ù1/8°³(20g), ¸ÀÀÖ´Â ¿À¶Ñ±â¹ä1°³(210g), ÇÁ·¹½ºÄÚ Ä«³î¶óÀ¯1T(10g), Àû»óÃß3Àå(20g), ¿¾³¯ ººÀ½Âü±ú1t']",701.3,87.5,24.15,28.64
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1322,Åä¸¶Åä ÇØ¹° ºü¿¡¾ß,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-01_786638811[21].jpg,"['¿À¸®Áö³Î Ä«·¹ÆÄ¿ì´õ 2g, ³Ãµ¿ÇØ¹°¸ğµÒ\t150g, ÇÁ·¹½ºÄÚ ¾ĞÂø¿Ã¸®ºêÀ¯ 2T(20g), ´ÙÁø¸¶´Ã 1/2T(7g), ÇÁ·¹½ºÄÚ Åä¸¶Åä ½ºÆÄ°ÔÆ¼¼Ò½º 100g, ¸ÀÀÖ´Â ¿À¶Ñ±â¹ä 1°³(210g), ¾çÆÄ 1/2°³(100g), ¹æ¿ïÅä¸¶Åä 5°³(50g), ¹ÌÇâ ¹ßÈ¿¸À¼ú 1T(10g), ¼Ò±İ 1/2t(1g), ¹ÙÁú ÀÙ ¾à°£']",467.44,95.06,8.27,6.21
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1319,¿À¹Ç¶óÀÌ½º,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-01_786638811[15].jpg,"['Åä¸¶ÅäÄÉªR 3T(30g), µ·±î½º¼Ò½º 470g 4T(40g), ¿À¶Ñ±â¹ä 210g 1°³(210g), °è¶õ 2°³, ¾ÖÈ£¹Ú 1/6°³(40g), ¾çÆÄ 1/8°³(25g), ´ç±Ù 1/6°³(20g), ¿Ã¸®°í´ç 1T(10g), °ñµå¸¶¿ä³×½º ¾à°£(10g), ¼Ò±İ\t¾à°£, ÇÁ·¹½ºÄÚ Ä«³î¶óÀ¯1T(10g), ¹° 3T(30g), ¼øÈÄÃß ¾à°£']",765.61,105.06,21.65,29.17
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1314,¸¶¶ó°è¶õµ¤¹ä,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-01_786638811[5].jpg,"['°è¶õ4°³, ¸ÀÀÖ´Â ¿À¶Ñ±â¹ä 1°³(210g), ÀÌ±İ±â ÈÌ±Å¸¶¶óÅÁ¼Ò½º 1T(20g), ÇÁ·¹½ºÄÚ Æ÷µµ¾¾À¯ 5T(70ml), ÀÌ±İ±â ÁßÈ­½ÃÁî´× ¸À°£Àå 2T(16g), ¹ÌÇâ ¹ßÈ¿¸À¼ú 1T(10g), ¿À¶Ñ±â ¿¾³¯Âü±â¸§ 1/2T(3g), ¾çÆÄ 1/4°³(50g), ¿¾³¯ ººÀ½Âü±ú 1T(3g), ¼³ÅÁ 1T(8g), ´ÙÁø ¸¶´Ã, ¼øÈÄÃß, ´ëÆÄ, ¼Ò±İ']",1426.49,101.37,36.99,98.3
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1312,±Ôµ¿,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-01_786638811[1].jpg,"['¼Ò°í±â(µî½É) 65g, ¾çÆÄ1°³(200g), °¨ÀÚÀüºĞ1T(15g), ¸ÀÀÖ´Â ¿À¶Ñ±â¹ä1°³(210g), ¹ÌÇâ ¹ßÈ¿¸À¼ú 2T(20g), ÀÌ±İ±â ±¼¼Ò½º 2T(20g), ´Ù½Ã¸¶½ÄÃÊ 1T(8g), ¹° 2T(20g), ¼³ÅÁ1/2T(4g), ÇÁ·¹½ºÄÚ Ä«³î¶óÀ¯1T(10g)']",833.3,113.59,19.89,32.88
¹ä,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1297,¿ÀÆ®¹ĞÅä¸¶Åä¸®Á¶¶Ç,https://ottogi.okitchen.co.kr/pds/upfile/2022-04-11_393995672[9].jpg,"['1/2ÇÏÇÁÄÉªR45g, ¿À¶Ñ±â ¼øÈÄÃß¾à°£, ¿ÀÆ®¹Ğ60g, ´ÙÁø ¸¶´Ã1t, ¿À¶Ñ±â ¾ĞÂø ¿Ã¸®ºêÀ¯1T, ¾çÆÄ1/4°³, ÆØÀÌ¹ö¼¸1/4°³(40g), ¹æ¿ï Åä¸¶Åä3°³, ¹°250ml, ´ß°¡½¿»ì80g, ¿À¶Ñ±â ¼øÈÄÃß¾à°£, ¼Ò±İ1/3t', 'ÆÄ½½¸® Âı¾à°£']",263.12,28.4,18.47,10.15
