번호,음식_링크,음식_이름,이미지_링크,원재료 및 원산지,칼로리(kcal),탄수화물(g),단백질(g),총 지방(g)
0,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2003,할라피뇨케챂,https://ottogi.co.kr/pds/product/2019-06-10_696005623[3].jpg,"토마토페이스트43%[외국산(미국,칠레,중국 등)], 정제수, 발효식초(주정,발효영양원),  설탕, 할라피뇨착즙액4.5%[다이스할라피뇨페퍼(멕시코산)], 물엿, 정제소금(국산), 젖산, 청양고추엑기스, 타바스코소스, 고추분, 잔탄검, 효소처리스테비아, 케챂향신료, 합성향료(할라피뇨향) *토마토페이스트 함량은 가용성고형분 25%기준임.",80,18,2,0
1,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2004,리얼 멕시칸 브리또 치폴레살사치킨,https://ottogi.co.kr/pds/product/2022-04-01_785806701[3].jpg,"빵류[또띠아전용분(밀:호주산,미국산,캐나다산),소스(대두유:외국산),효모,혼합제제(프로필렌글리콜,합성향료)],자연치즈[모짜렐라치즈(외국산),분말셀룰로오스],치폴레살사소스18.4%[다이스토마토(미국산),슬라이스할라피뇨피클(멕시코산),토마토페이스트,양파,피망],그릴드치킨6.4%[닭고기91.83%(가슴살,국산),소스,정제소금,혼합제제(폴리인산나트륨,메타인산나트륨,피로인산나트륨)],청피망,양파,할라피뇨,서류가공품,스위트콘",275,31,13,11
2,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2005,오뚜기 짜장면,https://ottogi.co.kr/pds/product/2019-07-02_249643505[1].jpg,"*면:소맥분(밀:호주산,미국산),변성전분,팜유(말레이시아산),감자전분(외국산:덴마크,프랑스,독일 등),글루텐,정제소금,면류첨가알칼리제(산도조절제),양파엑기스,이스트엑기스,비타민B2,녹차풍미유*스프류:짜장조미분말,참맛간짜장분말,설탕,식물성유지,짜장시즈닝분말,양파풍미유,정제소금,포도당,로스팅양파분말,시즈닝분말,양파조미유,복합지미분,양파시즈닝오일,간장베이스,향미증진제,영양강화제,대두단백,조미맛단백,건양파,건양배추,튀김감자다이스,건당근밀,대두,계란,쇠고기,돼지고기,닭고기 함유",580,90,11,20
3,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2006,김치면_용기,https://ottogi.co.kr/pds/product/2021-04-29_160263895[7].jpg,"*면:소맥분(밀:미국산,호주산),변성전분,팜유(말레이시아산),글루텐,정제소금,난각분말,마늘시즈닝,치킨추출농축액,야채추출물,면류첨가알칼리제(산도조절제),비타민B2,녹차풍미유*스프류:건조김치(중국산),김치양념분말,포도당,옥수수전분,덱스트린,찌개액젓분말,진한감칠맛분,간장분말,참맛매운양념분말,설탕,정제소금,감칠맛베이스,마늘조미분말,조미김치분,쇠고기육수분말,효모조미분,볶음김치양념분말,간장베이스,김치찌개양념분말,유지혼합분말,향미증진제,토마토분말,칠리맛분말,칠리추출물,생강분말,산도조절제,후추분말,매운칠리추출물,건파,건미역-밀,대두,계란,우유,쇠고기,돼지고기,닭고기,토마토,새우,조개류(굴,홍합 포함) 함유-메밀,오징어,게,고등어,땅콩 혼입 가능",470,70,9,17
4,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2007,경양식 돈까스소스,https://ottogi.co.kr/pds/product/2019-07-29_723119817[2].jpg,"정제수, 설탕, 토마토페이스트[외국산(미국,칠레,중국 등)], 쇠고기브이용[쇠고기(뉴질랜드산),당근(중국산)], 양파퓨레(중국산), 사과퓨레, 데미글라스분말, 발효식초, 변성전분, 우스타소스, 정제소금, 리치버터, 적포도주, 비프엑기스, 건조당밀, 마늘, 후추분, 천연향신료, 젖산, 합성향료(비프스프향)",117,26,1,1
5,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2009,미니 양념치킨소스 40g,https://ottogi.co.kr/pds/product/2019-08-20_276675916[1].jpg,"·유형 : 소스(살균제품)·원료명 : 물엿, 토마토케찹 [토마토페이스트(외국산), 물엿, 설탕, 발효식초, 정제소금(국산)], 양파(국산), 설탕, 정제수, 당근(국산), 양조간장, 마늘, 변성전분, 고추분, 정제소금, 후추분 ·알러지유발물질 : 토마토, 대두, 밀, 조개류(굴) 함유",85,21,0,0
6,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2010,오즈키친 토마토 미트볼 250g,https://ottogi.co.kr/pds/product/2020-08-26_773190637[8].png,"쇠고기(뉴질랜드산), 돼지고기(제주산), 다이스토마토(미국산:토마토, 토마토주스, 구연산, 염화칼슘), 정제수, 양송이슬라이스(양송이, 정제소금, 구연산), 콘센트레이티드크러쉬드토마토, 양파, 설탕, 마늘, 빵가루, 조직대두단백, 옥수수유, 식물성유지, 변성전분, 샐러리, 정제소금, 농축대두단백, 쇠고기다시, 후추분, L-글루탐산나트륨(향미증진제), 혼합제제(폴리인산나트륨, 피로인산나트륨, 메타인산나트륨), 향미증진제, 골드브라운하이스, 구연산, 영양강화제, 효모추출물, 합성향료(숯불구이향), 잔탄검, 천연향신료1, 천연향신료2, 바질, 파프리카추출색소, 오레가노, 덱스트린",375,25,30,17
7,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2011,오즈키친 할라피뇨 크림 미트볼 220g,https://ottogi.co.kr/pds/product/2020-08-26_773190637[10].png,"돼지고기(제주산), 정제수, 휘핑크림35[독일산:유크림, 혼합제제(유단백, 전분, 유화제, 결정셀룰로스, 셀룰로스검)], 슬라이스할라피뇨(멕시코산), 양파, 마늘, 빵가루, 조직대두단백, 설탕, 변성전분, 식물성유지, 쇠고기다시, 청양고추, 난황액, 농축대두단백, 향신료조제품, 혼합제제(폴리인산나트륨, 피로인산나트륨, 메타인산나트륨), 정제소금, 향미증진제, 스위트파머산치즈골드, 오뚜기비프시즈닝, 후추분, 잔탄검, 바질, 덱스트린",415,7,29,30
8,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2012,오즈키친 데미글라스 햄버그스테이크 240g,https://ottogi.co.kr/pds/product/2020-08-26_773190637[13].png,"쇠고기(뉴질랜드산), 정제수, 돼지고기(제주산), 양파(국산), 양송이슬라이스(양송이, 정제염, 구연산), 설탕, 빵가루, 콘센트레이티드크러쉬드토마토, 쇠고기브이용, 진한요리크림, 변성전분, 마늘, 조직대두단백, 돈지방, 식물성유지, 적포도주, 버터루, 가공버터, 쇠고기농축액, 농축대두단백, 쇠고기다시, 과일소스, 데미글라스분말, 비프엑기스, 향미증진제, 후추분, 양파맛분말, 혼합제제(폴리인산나트륨, 피로인산나트륨, 메타인산나트륨), 골드브라운하이스, 정제소금, 카라멜색소, 영양강화제, 합성착향료(숯불구이향), 천연향신료, 바질, 오레가노, 덱스트린",365,23,28,18
9,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2013,서울식 쇠고기보양탕,https://ottogi.co.kr/pds/product/2022-06-24_506412547[23].jpg,"정제수, 얼갈이배추(중국산), 쇠고기 9%(뉴질랜드산), 토란대(미얀마산), 대파, 느타리버섯, 깻잎, 양지국물농축액, 사골엑기스, 마늘, 청양고추민스, 들깨가루, 재래된장, 혼합제제(변성전분, 덱스트린), 카놀라유, 고춧가루, 쇠고기다시, 효모추출물, 식물성분해단백, 향미증진제, 정제소금, 영양강화제, 칡즙농축액, 헛개나무열매추출농축액",250,20,20,10
