음식_이름,칼로리(kcal),수분(g),단백질(g),총 지방(g),탄수화물(g)
어묵국,93,278.4,4.47,3.09,11.49
오징어국,54,286.2,6.66,2.19,2.19
육개장,90,279,11.04,2.97,4.47
육개장,60,284.1,8.22,1.26,4.23
장어탕,201,260.4,12.96,11.73,11.04
재첩국,69,282,2.01,0.87,13.62
조개국,48,288.9,5.01,2.67,0.75
콩나물국,18,293.7,2.22,0.27,1.83
토란국,48,286.8,3,0.36,7.83
해장국,78,281.1,9.57,2.91,3.18
해장국,87,279,11.58,2.88,3.69
갈치찌개,114,273,15.81,3,5.85
감자탕,213,258.6,18.93,12.18,6.81
김치전골,219,256.5,9.36,12.69,17.04
김치찌개,267,249,21.42,15.54,10.62
김치찌개,135,273.3,12.75,8.13,3.12
김치찌개,114,270.3,5.46,1.77,18.93
김치찌개,153,268.2,10.77,8.46,8.7
김치찌개,93,277.5,4.41,4.17,9.51
된장국,60,284.7,8.31,1.77,2.46
된장국,93,277.2,7.74,3.33,7.86
된장국,84,278.7,6.3,2.94,8.04
된장국,93,277.2,10.02,3.93,4.23
된장국,21,294.6,1.2,0.96,1.62
무국,45,288.9,3.99,1.92,3.3
무국,75,286.2,2.37,6.09,2.58
묵국,66,282.9,3,1.2,10.71
미역국,36,291.6,1.95,1.83,2.61
미역국,33,288,3.69,1.35,1.68
미역국,48,289.5,3.27,1.38,5.49
미역국,39,289.5,5.58,0.78,2.46
배추국,48,287.1,5.52,1.23,3.42
북어국,84,280.5,11.67,2.94,2.52
사골국,165,266.7,16.68,7.26,8.43
삼계탕,303,240,32.04,14.4,11.52
새우탕,99,273.3,15.51,1.32,6
설렁탕,72,284.1,12.78,1.74,1.08
순대국,255,239.7,7.05,5.25,44.85
굴국,75,280.2,7.23,1.08,8.79
김치국,69,283.2,4.02,2.28,7.89
김치국,36,290.4,2.46,1.41,3.45
내장탕,213,261.6,17.46,13.56,5.04
냉국,111,272.4,0.57,2.01,22.53
냉국,18,293.1,1.11,0.45,2.55
달걀국,39,291,2.79,2.22,2.07
달걀탕,87,284.1,5.34,6.12,2.82
닭곰탕,153,264.6,22.53,4.26,6
도가니탕,120,270,25.05,0.99,2.46
된장국,75,280.2,3.27,1.8,11.1
된장국,66,283.8,5.13,1.98,6.6
된장국,72,282.3,4.68,2.91,6.84
된장국,60,284.1,4.38,1.2,7.74
된장국,27,290.4,3.06,0.51,2.94
된장국,45,287.1,3.93,0.66,6.09
된장국,45,287.4,3.66,1.41,4.56
된장국,60,283.2,6.84,1.68,4.77
된장국,27,291.9,1.5,1.23,2.55
월남쌈,354,228.3,17.82,14.91,36.75
짜장면,264,239.4,8.07,6.66,43.11
짬뽕,174,260.1,8.37,4.62,24.78
쫄면,387,210,9.63,7.56,69.78
칼국수,231,241.5,9.9,1.47,44.7
칼국수,246,237.6,10.29,1.59,47.91
콩국수,243,249.9,11.7,10.05,26.76
닭죽,132,267.6,8.04,1.71,21.42
스프,315,244.8,7.23,21.12,24.18
오리죽,465,201.3,22.5,14.97,59.85
전복죽,237,253.2,5.46,11.19,28.86
채소죽,129,267.3,5.07,2.07,22.86
팥죽,243,237.9,9.51,0.57,49.98
호박죽,147,267,5.79,5.13,19.74
흑임자죽,183,269.7,3.3,14.19,10.92
갈비탕,162,264.6,25.53,6.18,1.2
감자국,63,283.2,2.7,0.78,11.01
곰탕,72,284.7,10.29,3.36,0.33
곰탕,75,280.8,7.11,1.8,7.8
국수,357,222,20.04,13.68,38.43
물냉면,165,259.5,5.88,1.92,30.93
비빔냉면,300,232.2,17.01,7.92,40.05
냉면,444,201.3,17.43,12.06,66.63
떡국,252,237,10.29,1.59,49.11
떡만두국,333,228.9,10.59,11.73,46.41
라면,246,244.5,5.16,6.84,40.95
라면,324,228.9,7.83,9.54,51.99
라면,288,236.7,6.12,8.76,45.81
만두,477,194.4,37.14,13.35,52.2
만두,702,163.2,21.09,34.5,76.71
만두,456,199.2,30.72,14.28,51.06
만두,585,192,24.18,33.39,46.83
만두국,261,246.6,11.22,12,26.82
메밀국수,189,251.7,9.42,0.87,36.18
수제비,174,256.2,6.93,1.56,33.24
스파게티,540,195.6,22.02,26.64,52.86
우동,474,192,5.34,9.66,91.44
우동볶음,384,208.5,8.4,6.03,74.37
식빵,792,105.6,28.02,7.8,152.73
초코소라빵,957,98.7,9.87,32.79,155.28
츄러스,1083,68.1,19.8,33.87,174.51
카스텔라,1005,89.7,30.09,34.41,143.97
케이크,936,108.3,22.08,35.49,132.03
케이크,711,167.1,10.35,37.62,82.86
크로와상,1338,61.8,22.56,80.94,129.93
파이,555,173.7,7.62,11.73,104.49
페이스트리,1398,57.9,24.93,88.98,124.5
피자,822,142.2,32.04,43.08,76.62
피자빵,894,126.3,26.55,45.15,95.28
햄버거,792,149.4,38.55,41.94,65.01
햄버거,750,151.8,41.64,34.56,68.04
호떡,942,89.1,16.23,21.21,171.36
간짜장,375,219.9,15.36,14.67,45.39
국수,399,201.6,17.4,4.83,71.7
국수,306,223.8,9.03,2.85,61.41
국수,132,266.7,5.79,1.47,24.15
시루떡,672,135.9,11.31,5.55,144.39
약식,660,141.6,12.63,7.35,135.72
인절미,726,123,16.92,6.48,150.21
절편,576,162.9,23.16,7.26,104.61
증편,600,152.1,9.51,3.6,132.45
찹쌀떡,885,87,15.18,7.59,188.79
도넛,1545,32.7,23.55,99.51,138.48
도넛,864,98.4,18,13.92,166.68
마늘빵,1314,31.8,36.18,52.74,173.82
머핀,1152,60,17.19,41.52,177.45
모닝빵,942,87.9,28.5,22.29,156.51
모카빵,1017,71.7,25.65,24.15,173.88
베이글,918,85.5,30,17.49,160.44
샌드위치,720,159.6,36.54,35.76,62.88
샌드위치,579,201.6,28.5,40.32,25.32
샌드위치,606,188.1,31.62,34.95,41.34
샌드위치,732,167.4,12.24,44.25,71.46
샌드위치,660,172.8,37.32,35.76,46.92
소보로빵,1176,58.8,24.81,45.39,166.89
주먹밥_소고기,534,171.9,14.28,6.54,104.19
짬뽕밥,216,248.4,9.6,4.2,34.95
차조밥,471,184.5,8.52,1.95,104.58
찰밥,459,184.2,13.17,0.54,100.68
초밥,480,183.6,28.98,4.77,80.16
초밥,582,172.2,17.34,17.31,89.46
카레라이스,324,221.7,9.33,4.2,62.22
콩나물밥,369,210.3,14.04,4.74,67.17
콩밥,495,179.1,13.59,3.36,102.9
콩밥,414,193.8,8.85,0.48,93.75
하이라이스,336,218.1,12.06,3.39,64.02
현미밥,516,171.6,9.3,1.41,116.7
회덮밥,435,204,27.3,12.45,53.28
가래떡,585,153.3,11.76,1.53,131.19
경단,720,141.9,18.84,20.16,115.74
꿀떡,684,132.6,11.22,5.19,148.44
모듬찰떡,654,142.2,20.34,7.32,126.81
백설기,690,131.4,11.13,4.35,151.2
송편,657,144.9,13.95,9.69,128.49
볶음밥,549,170.7,16.68,8.28,101.91
볶음밥,675,169.8,19.86,33.84,72.69
볶음밥,501,204.3,15.96,27.54,47.22
볶음밥,516,192.3,18.93,18.42,68.55
볶음밥,528,189.6,22.77,19.44,65.28
볶음밥,540,172.2,13.86,9.81,98.7
볶음밥,546,179.1,14.16,16.17,86.22
볶음밥,552,176.7,10.08,14.43,95.37
비빔밥,426,206.7,20.58,12.96,56.52
비빔밥,441,197.1,16.17,8.85,74.04
비빔밥,441,197.1,19.17,10.08,68.76
삼각김밥,597,178.8,17.79,24.63,76.35
수수밥,483,182.4,9.48,2.76,105.06
알밥,384,218.4,14.19,15.33,47.25
영양돌솥밥,552,172.2,10.29,8.61,108.18
오므라이스,519,192.9,19.5,21.69,61.62
자장밥,366,223.2,12.81,14.16,46.71
잡곡밥,438,191.7,15.9,2.61,87.99
잡채밥,450,197.4,12.06,10.26,77.37
국밥,411,214.8,20.1,15.48,47.82
국밥,225,251.1,9.51,6.84,31.14
국밥,156,260.4,4.35,0.72,32.79
기장밥,498,177.3,10.32,1.71,110.31
김밥,420,208.5,14.52,13.65,59.94
김밥,390,213.6,12.9,12.09,57.51
김밥,531,179.4,18.3,12.78,85.98
김밥,606,167.4,17.31,17.43,94.92
김밥,537,183.6,19.38,16.68,77.34
김밥,522,192.6,21,21.66,60.78
김밥,474,191.4,13.8,10.95,79.95
김밥,531,189.9,18.72,21.09,66.3
김밥,507,185.7,14.64,13.23,82.56
덮밥,450,197.7,17.64,10.02,72.36
덮밥,375,212.4,34.2,6.54,44.46
덮밥,606,186,28.29,32.31,50.58
덮밥,546,180.6,19.8,15.93,80.88
덮밥,405,204.3,21.54,6.03,65.82
보리밥,483,179.7,8.7,0.72,110.31
꽃게탕,51,286.5,5.58,1.23,4.32
낙지전골,153,261,19.5,3.42,11.16
동태국,51,285.6,7.26,0.48,4.2
동태찌개,132,268.8,18.33,4.11,5.16
돼지고기찌개,144,266.7,18.75,4.53,6.78
된장찌개,138,267.9,10.14,4.89,13.32
된장찌개,57,284.7,3.51,0.93,8.73
된장찌개,105,270.9,9.54,2.37,11.43
된장찌개,123,272.1,9.75,5.88,7.68
콩비지찌개,207,255.6,20.22,9.24,10.71
호박찌개,123,270,6.24,2.97,17.88
고구마,417,193.8,5.01,0.72,97.41
가오리찜,306,227.1,65.97,4.17,1.38
갈비찜,255,243.6,21.75,9.51,20.85
감자,210,244.8,6.48,0.48,45.03
깻잎찜,291,239.1,15.63,17.58,17.88
꼬막찜,288,228,36.09,6.84,20.91
꽈리고추찜,312,225.6,10.77,6.27,53.07
달걀찜,174,269.1,14.94,12.12,1.41
달걀찜,315,241.2,24.69,18.93,11.4
닭찜,321,240.3,37.11,18.27,1.8
돼지갈비찜,582,194.7,39.87,36.96,22.32
된장찌개,69,281.4,8.64,2.16,3.54
두부찌개,156,267.3,12.03,7.89,9.54
두부찌개,174,258.9,13.68,4.26,20.19
두부찌개,165,263.1,17.13,5.94,10.5
매운탕,66,281.7,13.47,1.2,0.57
매운탕,105,272.1,14.55,1.92,7.53
버섯전골,234,253.8,15.42,12.72,14.34
부대찌개,369,228.6,17.58,19.47,30.81
샤브샤브,90,279.3,11.64,2.7,4.71
샤브샤브,129,271.5,16.14,4.86,5.4
소고기전골,189,261.3,23.67,9.72,1.38
순두부찌개,105,277.8,8.94,4.77,6.51
알탕,117,270.3,19.11,2.22,5.22
오리백숙,336,241.8,31.77,22.5,1.5
오리탕,363,229.2,28.5,19.68,18.24
오징어찌개,102,271.5,9.9,0.66,14.31
청국장찌개,141,269.4,15.09,6.33,5.76
추어탕,162,268.2,9.72,9.54,9.21
